Heartbeat at 2025-06-10T01:28:42.055Z, BPM: 80
Heartbeat at 2025-06-10T01:28:42.869Z, BPM: 80
Heartbeat at 2025-06-10T01:28:43.672Z, BPM: 80
Heartbeat at 2025-06-10T01:28:44.477Z, BPM: 80
Heartbeat at 2025-06-10T01:28:45.281Z, BPM: 80
Heartbeat at 2025-06-10T01:28:46.088Z, BPM: 80
Heartbeat at 2025-06-10T01:28:46.893Z, BPM: 80
Heartbeat at 2025-06-10T01:28:47.698Z, BPM: 80
Heartbeat at 2025-06-10T01:28:48.504Z, BPM: 80
Heartbeat at 2025-06-10T01:28:49.310Z, BPM: 80
Heartbeat at 2025-06-10T01:28:50.116Z, BPM: 80
Heartbeat at 2025-06-10T01:28:50.920Z, BPM: 80
Heartbeat at 2025-06-10T01:28:51.725Z, BPM: 80
Heartbeat at 2025-06-10T01:28:52.530Z, BPM: 80
Heartbeat at 2025-06-10T01:28:53.334Z, BPM: 80
Heartbeat at 2025-06-10T01:28:54.139Z, BPM: 80
Heartbeat at 2025-06-10T01:28:54.944Z, BPM: 80
Heartbeat at 2025-06-10T01:28:55.747Z, BPM: 80
Heartbeat at 2025-06-10T01:28:56.551Z, BPM: 80
Heartbeat at 2025-06-10T01:28:57.355Z, BPM: 80
Heartbeat at 2025-06-10T01:28:58.160Z, BPM: 80
Heartbeat at 2025-06-10T01:28:58.966Z, BPM: 80
Heartbeat at 2025-06-10T01:28:59.771Z, BPM: 80
Heartbeat at 2025-06-10T01:29:00.575Z, BPM: 80
Heartbeat at 2025-06-10T01:29:01.380Z, BPM: 80
Heartbeat at 2025-06-10T01:29:02.185Z, BPM: 80
Heartbeat at 2025-06-10T01:29:02.989Z, BPM: 80
Heartbeat at 2025-06-10T01:29:16.812Z, BPM: 80
Heartbeat at 2025-06-10T01:29:17.619Z, BPM: 80
Heartbeat at 2025-06-10T01:29:18.424Z, BPM: 80
Heartbeat at 2025-06-10T01:29:19.228Z, BPM: 80
